tweet,sentiment
"I'm glad to be back home..now the never ending email checking begins, just was informed of a very important due date that has just passed ",0
was late to work ,0
@GracieCC aww Grace! I kept going back to sleep and having the same dream! I was crying in it  but luckily not in real life. *Hugs*,0
Uh uhhh seee these lil girls r nayasty acting. no no...protect the babies...thats y 13 yr olds havin lil baebaes..  ,0
wishes i finishe what i started last night then i wouldnt be here ,0
@ambermatson Being burgled is bad enough (personal  experience) but to lose YBL stuff so close to deadline. Really sorry for them ,0
I sooo cannot afford to get an iPhone ,0
"Come on, nadal dropped out of wimbledon! ",0
No music today. Blip.fm is undergoing maintenance ,0
"@hannmcfly :'( i feel so betrayed.. nick santino likes harry potter, like obsessive stage. and so do mcfly  looks like you'll be giving me",0
@iammandurr wow I only have like 30 lol. No one likes me ,0
@AYoTaviBaby gracias yo foreal lol! Uhm idk I suck with names.  I'll let ya know if anything comes to me.,0
@BathNBeads I can't believe it's been 10 years ~ seems like yesterday ,0
Twittering's so blah now.  I think I'm not following enough REAL people ,0
"spending da whole day by my bestiie Maaraaa, &lt;3 i miss her since we go to diff schools now ",0
Just got back from my study group and shopping day Forever21 and MAC haul tmrw cuz i still have homework ,0
@girlwonders Aww. Maybe that is what they do until they get their bearings. I hope so. I'm so worried I'll be a bad mum! ,0
waiting for that $75000 to land in my lap so that I dont have to graduate...ever. excited for summer but totally not ready to grow up ,0
@scarboy nope virus win ,0
We're buying another car. Its a coop. ,0
@shineonmedia that saddens me. there are like no videos anywhere ,0
Aliens won't carry me home? ,0
Just had to wait for 3 ladies and one gent to leave the private restroom... But they all looked properly dressed &amp; unhapy  how unfortunate,0
Doing things around the house...long night at work last night. ,0
There'sno toilet seat covers in the bathroom at work! It's high school all over again ,0
says really..north korea's scary  http://plurk.com/p/11mxwe,0
"@beeskies why didn't you say hi ?! I was like heyy who are these cuties, and I thought it was you but you didn't say hi. ",0
@FortyDeuceTwits Baby E or Rafa? or Both..Yikes. See you in 2 weeks for Wimby ,0
Fuck fuck fuck dropped my phone on the concrete  fucked the scroll wheel up a bit.,0
bored. like always. once again Internet is on throttle. ,0
damn everything sucks sometimes. right now i feel unhappy ,0
